"순서","시군구코드","교량일련번호","교량명_한글","교량명_영문","위도","경도"
"462","11110","6","삼일교"," ","37.568134","126.9876373"
"466","11680","26","한남대교"," ","37.5245284","127.0155492"
"467","11710","34","천호대교"," ","37.5426129","127.1130935"
"473","11710","43","탄천교"," ","37.4935226","127.1020064"
"477","11560","28"," "," ","37.4848783","126.9031003"
"482","11560","17"," "," ","37.5392857","126.8982691"
"484","11200","5","응봉교"," ","37.5494469","127.0358896"
"486","11200","10","성동교"," ","37.5528576","127.0438685"
"487","11200","22","군자교"," ","37.5600642","127.072132"
"488","11650","19"," "," ","37.4834422","127.0259984"
"490","11350","21","장월교"," ","37.617968","127.057074"
"492","11470","10"," "," ","37.5304284","126.8898744"
"493","11710","7","성내제4교"," ","37.4995912","127.1415852"
"494","11710","13"," "," ","37.509217","127.0991592"
"496","11710","4","성내제2교"," ","37.49924","127.1447485"
"497","11560","2"," "," ","37.5170846","126.9167196"
"498","11710","40"," "," ","37.5023877","127.0720147"
"500","11560","31","도림교"," ","37.5106313","126.8912224"
"501","11470","2"," "," ","37.5130021","126.8337972"
"504","11200","24","두물다리"," ","37.5708282","127.0335158"
"506","11560","16"," "," ","37.539216","126.8980643"
"508","11200","3","뚝섬교"," ","37.5380845","127.043806"
"509","11560","12"," "," ","37.5372945","126.9010791"
"511","11560","26"," "," ","37.5164416","126.9424904"
"513","11350","8","당현제2교"," ","37.6504331","127.0685831"
"517","11560","3"," "," ","37.5214666","126.9153999"
"518","11170","5","원효대교"," ","37.5270975","126.9457568"
"483","11470","5","목동교"," ","37.5308339","126.8881835"
"485","11200","7"," "," ","37.5514054","127.0405786"
"489","11350","18","녹천교"," ","37.6456705","127.0558012"
"491","11710","29"," "," ","37.5240261","127.1026065"
"495","11710","17"," "," ","37.5097774","127.0993965"
"499","11200","37"," "," ","37.5397554","127.0186179"
"502","11470","8","양화교"," ","37.5474443","126.8809313"
"503","11560","20"," "," ","37.5535499","126.8768397"
"505","11440","27","양화대교"," ","37.5447931","126.9058792"
"507","11470","11","오목교"," ","37.523933","126.8797706"
"510","11710","20","둔촌다리"," ","37.517035","127.1315069"
"512","11560","27","여의교"," ","37.5158441","126.9278109"
"514","11710","37","청담2교"," ","37.5189978","127.0672357"
"515","11560","36","양화교"," ","37.5474443","126.8809313"
"516","11710","41","탄천1교"," ","37.500453","127.0829467"
"522","11560","32"," "," ","37.5161126","126.8822074"
"523","11170","1"," "," ","37.5163583","126.9867193"
"524","11170","3"," "," ","37.5200138","126.9605275"
"526","11170","6","한강대교"," ","37.5154781","126.9571971"
"528","11560","9"," "," ","37.5324999","126.8913253"
"531","11350","16"," "," ","37.6603603","127.0516579"
"537","11170","15"," "," ","37.5356344","127.0157089"
"541","11740","22"," "," ","37.5452057","127.1207002"
"542","11530","4"," "," ","37.4873441","126.8975881"
"543","11740","24"," "," ","37.5415104","127.1192945"
"544","11440","8"," "," ","37.5588596","126.8923591"
"545","11230","1","용신교","Yongsingyo(Bridge)","37.5713592","127.0277877"
"547","11740","16"," "," ","37.5489431","127.1799155"
"548","11380","8"," "," ","37.6571945","126.9419585"
"550","11500","10","개화교"," ","37.5834831","126.7981937"
"551","11710","23"," "," ","37.5214604","127.098437"
"552","11410","5"," "," ","37.5732329","126.9282803"
"553","11410","17","홍은대교","Hongeundaegyo","37.5974602","126.9466645"
"554","11500","14"," "," ","37.5918165","126.8043791"
"555","11500","17"," "," ","37.5279157","126.8488774"
"519","11560","33","오목교"," ","37.523933","126.8797706"
"520","11560","4","서울교"," ","37.5208019","126.9161069"
"533","11710","36","잠실대교"," ","37.5238343","127.0918351"
"534","11170","10","한남대교"," ","37.5269456","127.0133932"
"535","11560","7"," "," ","37.5297843","126.890108"
"536","11170","12"," "," ","37.541703","127.0233237"
"538","11170","13"," "," ","37.5359366","127.0156262"
"539","11200","38"," "," ","37.5356344","127.0157089"
"540","11170","11"," "," ","37.5419568","127.0232395"
"546","11680","35","탄천1교"," ","37.500453","127.0829467"
"549","11215","7","워커힐교"," ","37.5540931","127.1109974"
"556","11290","10","월계동472교량"," ","37.6157105","127.0606691"
"557","11620","1"," "," ","37.459439","126.9301287"
"558","11215","6"," "," ","37.5462044","127.1010013"
"559","11440","5","와우교"," ","37.5555355","126.9306819"
"560","11680","48","세곡2교"," ","37.4646415","127.0931737"
"561","11440","1"," "," ","37.5381173","126.9421721"
"562","11410","18","포방교","Pobanggyo","37.5983316","126.9489781"
"563","11215","8","영동대교"," ","37.5296604","127.0569292"
"566","11200","32","성수대교"," ","37.5376739","127.0351005"
"568","11200","17","장현교"," ","37.5681331","127.0329716"
"569","11470","3"," "," ","37.5135888","126.8335808"
"571","11170","7","한강대교"," ","37.5153516","126.9574685"
"564","11440","26","서강대교"," ","37.5382788","126.9258401"
"565","11440","-1","가양대교"," ","37.5690572","126.8609416"
"567","11440","20"," "," ","37.5666177","126.8963982"
"570","11470","9","양평교"," ","37.5398703","126.8879296"
