"순서","시군구코드","교량일련번호","교량명_한글","교량명_영문","위도","경도"
"161","11650","14","매헌교","Maeheongyo","37.4732724","127.0376916"
"163","11545","10","시흥대교"," ","37.4528122","126.8955186"
"164","11680","8","광평교"," ","37.4934453","127.1019798"
"167","11350","6","당현3교"," ","37.6449245","127.0612488"
"168","11350","7","당현1교"," ","37.6465655","127.0633944"
"169","11350","12"," "," ","37.6580395","127.071946"
"170","11350","13"," "," ","37.6738401","127.0492631"
"171","11650","25","반포1교","Banpo 1(il)gyo","37.5002601","126.9979661"
"172","11410","1"," "," ","37.5645947","126.9292049"
"174","11200","6"," "," ","37.551299","127.0406902"
"175","11200","14","사근-용답간인도교"," ","37.562429","127.0498808"
"177","11110","16","맑은내다리"," ","37.5697887","127.0124778"
"212","11680","44","동호대교"," ","37.537752","127.0201671"
"213","11740","28","천호대교"," ","37.5426129","127.1130935"
"216","11140","15","삼일교"," ","37.568134","126.9876373"
"217","11680","11"," "," ","37.4934075","127.071641"
"218","11500","19","양화교"," ","37.5474443","126.8809313"
"219","11500","20","가양대교"," ","37.5690572","126.8609416"
"178","11140","16","장통교"," ","37.5683754","126.9856759"
"179","11140","3","영도교"," ","37.571062","127.0189887"
"180","11140","8","나래교"," ","37.569654","127.0044612"
"181","11320","5"," "," ","37.6614282","127.0488504"
"182","11320","7"," "," ","37.6617477","127.0399008"
"183","11320","8"," "," ","37.6617594","127.0391874"
"184","11320","10"," "," ","37.6618243","127.0422763"
"185","11320","13"," "," ","37.6621607","127.0447469"
"150","11200","15"," "," ","37.5659312","127.0377439"
"155","11200","21"," "," ","37.5720317","127.0416639"
"159","11350","2"," "," ","37.6242254","127.0697093"
"162","11680","34","탄천교"," ","37.4936118","127.1017861"
"165","11440","23","중앙교"," ","37.572567","126.9000477"
"166","11650","34"," "," ","37.504251","126.9793111"
"173","11290","11","장월교"," ","37.617968","127.057074"
"176","11680","36"," "," ","37.5023877","127.0720147"
"186","11320","14"," "," ","37.6765115","127.031949"
"188","11740","25","천호대교"," ","37.5411513","127.1186591"
"190","11380","7","은하교"," ","37.6546466","126.9385021"
"191","11380","11","증산2교"," ","37.5842572","126.9107118"
"193","11320","22","신도봉교"," ","37.6804493","127.047594"
"194","11320","23"," "," ","37.6805809","127.0445892"
"195","11320","25","노원교"," ","37.6789938","127.050835"
"196","11320","28","창동교"," ","37.6530076","127.054219"
"198","11320","35","우이교"," ","37.6428828","127.0308697"
"199","11320","38"," "," ","37.6466141","127.0251729"
"202","11680","4","영동3교"," ","37.4850334","127.0516423"
"203","11680","21","한남대교"," ","37.5240441","127.0160039"
"205","11320","42"," "," ","37.6496185","127.0148429"
"206","11320","43","도봉"," ","37.6791339","127.0422642"
"207","11230","27","종암대교","Jongamgyo(Bridge)","37.5912755","127.0388956"
"214","11110","13","나래교"," ","37.569654","127.0044612"
"215","11140","13","관수교"," ","37.5683767","126.9923992"
"221","11530","1"," "," ","37.4786861","126.82169"
"222","11530","5"," "," ","37.4981359","126.8487779"
"187","11110","8","관수교"," ","37.5683767","126.9923992"
"189","11380","3"," "," ","37.5921033","126.8838363"
"192","11545","8"," "," ","37.4752716","126.878716"
"197","11320","32","우이제3교"," ","37.6369055","127.0364756"
